juris_id,case_citations
0,g.r. no. 174775
0,g.r. no. 174775
0,g.r. no. 147678
0,g.r. no. 192818
0,g.r. no. 192187
0,g.r. no. 188601
0,g.r. no. 177573
0,g.r. no. 187497
0,g.r. no. 175837
0,g.r. no. 195419
0,g.r. no. 189301
0,g.r. no. 177751
0,g.r. no. 181204
0,g.r. no. 172606
0,467 phil. 432
0,g.r. no. 179943
0,g.r. no. 168103
0,g.r. no. 188602
0,g.r. no. 179044
0,g.r. no. 190317
0,g.r. no. 184960
0,g.r. no. 183094
1,g.r. no. 88291
1,g.r. no. 66416
1,g.r. no. 166482
1,g.r. no. 172129
1,g.r. no. 88291
1,g.r. no. 140230
1,28 no. 1
1,g.r. no. 166786
1,g.r. no. 122161
1,g.r. no. 184398
2,g.r. no. 158138
2,g.r. no. 187116
2,g.r. no. 166058
2,g.r. no. 138544
2,g.r. no. 141667
2,g.r. no. 122463
2,g.r. no. 172428
2,g.r. no. 140182
3,g.r. no. 165662
3,g.r. no. 113412
3,g.r. no. 144755
3,49 so. 311
3,314 mass. 60
3,147 me. 387
3,194 so. 867
3,g.r. no. 151833
3,g.r. no. 165950
3,g.r. no. 170038
3,g.r. no. 157315
3,g.r. no. 164549
3,g.r. no. 162716
3,g.r. no. 163011
3,g.r. no. 179441
4,g.r. no. 169272
4,g.r. no. 189859
4,230 phil. 590
4,g.r. no. 163827
4,g.r. no. 176709
4,g.r. no. 158364
4,g.r. no. 156185
4,g.r. no. 181930
4,g.r. no. 174698
4,g.r. no. 185620
5,g.r. no. 181613
5,g.r. no. 167874
5,g.r. no. 150429
5,g.r. no. 118509
5,g.r. no. 162419
5,g.r. no. 163280
6,105 phil. 1066
7,g.r. no. 154704
7,g.r. no. 78777
7,g.r. no. 153837
7,g.r. no. 107432
7,g.r. no. 169985
8,243 phil. 864
8,512 phil. 425
8,426 phil. 104
8,g.r. no. 152578
8,453 phil. 1059
8,479 phil. 393
8,466 phil. 173
8,g.r. no. 146141
8,g.r. no. 180587
8,513 phil. 85
8,g.r. no. 183122
8,g.r. no. 167332
8,g.r. no. 173990
8,512 phil. 679
8,520 phil. 76
8,g.r. no. 150664
8,524 phil. 1
8,418 phil. 8
8,355 phil. 181
8,234 phil. 180
8,310 phil. 401
8,g.r. no. 89425
8,334 phil. 472
9,g.r. no. 164631
9,464 phil. 83
9,376 phil. 252
9,515 phil. 467
9,g.r. no. 157903
9,497 phil. 738
9,379 phil. 141
9,g.r. no. 171685
9,g.r. no. 168453
9,g.r. no. 160379
9,464 phil. 83
9,g.r. no. 168967
9,g.r. no. 188072
9,g.r. no. 177685
11,g.r. no. 189981
11,g.r. no. 192581
11,g.r. no. 192251
11,g.r. no. 183094
11,g.r. no. 185390
11,g.r. no. 78813
11,g.r. no. 191254
11,g.r. no. 172967
11,g.r. no. 189301
11,g.r. no. 188353
11,g.r. no. 189981
12,g.r. no. 192188
12,g.r. no. 189980
12,g.r. no. 172953
13,g.r. no. 168796
13,g.r. no. 179556
13,g.r. no. 181455
13,g.r. no. 155001
14,96 no. 20441
14,g.r. no. 121671
14,g.r. no. 96428
14,g.r. no. 168486
14,g.r. no. 102981
14,g.r. no. 134974
14,76 phil. 457
14,g.r. no. 151458
14,g.r. no. 138084
14,g.r. no. 103737
15,37 phil. 752
15,g.r. no. 183606
15,92 phil. 5
15,g.r. no. 146364
15,515 phil. 745
15,g.r. no. 172547
15,g.r. no. 158877
15,g.r. no. 171029
15,328 phil. 238
15,463 phil. 314
15,g.r. no. 171315
17,g.r. no. 162886
17,g.r. no. 188002
