source,juris_id
0,64782
0,61803
0,61438
0,61358
0,61609
0,4089
0,61818
0,3989
0,61310
0,3880
0,3908
0,3931
0,65221
0,2648
0,61491
0,61196
0,4401
0,3957
0,61226
1,22531
1,28879
1,39
1,997
1,22531
1,50035
1,10167
1,63155
1,61826
2,49094
2,62046
2,38100
2,36966
2,10720
2,48963
2,1875
2,48940
3,11171
3,12749
3,48630
3,34926
3,405
3,10247
3,38357
3,61512
4,4
4,61799
4,26052
4,4498
4,3800
4,38791
4,3883
4,1621
4,4441
5,2756
5,62094
5,11397
5,12479
5,61012
6,15003
7,4251
7,26955
7,61759
7,23402
7,3911
8,27596
8,48892
8,36099
8,48892
8,33860
8,64854
8,64694
8,2133
8,3453
8,48548
8,4741
8,4760
8,3614
8,49710
8,11291
8,2743
8,11208
8,59973
8,65972
8,32548
8,23798
8,29101
8,11864
9,2443
9,65317
9,62690
9,10319
9,38546
9,49309
9,37339
9,62238
9,3758
9,3470
9,65317
9,61679
9,4437
9,4115
11,4829
11,61261
11,4652
11,61226
11,4598
11,32081
11,62088
11,38713
11,61310
11,61233
11,4829
12,4285
12,4189
12,1482
13,61302
13,3785
13,33858
14,65863
14,63074
14,10659
14,33761
14,36779
14,20250
14,10962
14,36121
14,29966
15,9938
15,2838
15,14851
15,65330
15,10850
15,3611
15,3404
15,39082
15,13168
15,34048
15,1597
17,1121
17,61590
17,26629
17,61887
17,3367
18,4132
18,4731
18,62217
18,1482
19,61798
19,3182
19,3774
19,2626
19,2730
20,3192
20,1665
20,3694
20,3182
20,1665
21,1654
21,1654
21,6944
21,6482
21,63268
22,61015
22,61674
22,60546
23,34374
23,34716
23,32379
23,62982
23,34565
23,35892
23,35892
23,34382
23,33875
23,61477
24,1500
24,36161
24,1729
24,166
24,31017
25,65429
26,64782
26,62083
26,61358
26,4685
26,3101
26,62060
26,39041
26,1465
26,3932
27,1879
27,1879
27,65798
27,3082
27,3017
27,10668
27,35091
28,60562
28,4205
28,10950
28,62127
28,30558
28,3171
28,11117
29,49284
29,10196
29,2164
30,38956
30,10349
30,64775
30,34238
31,29467
32,49615
32,35717
32,11594
32,10733
32,10993
33,34509
34,4728
34,62837
34,36639
34,43036
34,61686
35,11099
35,65226
35,62214
35,59975
35,36000
35,36447
35,11779
35,25478
35,24555
35,61730
36,62132
36,3821
36,62164
36,29715
37,2407
37,64782
37,3227
37,3485
37,4662
37,3219
37,1094
37,11083
37,1153
37,3880
37,61847
37,1384
37,2687
37,61609
38,43597
38,65797
38,38290
38,61058
38,61301
38,1116
39,65757
39,48581
39,1745
39,2376
39,61826
39,11305
40,3132
40,33968
40,35278
40,38549
40,498
40,38373
40,39006
40,11344
40,3266
40,456
40,1235
40,12508
40,4840
40,35215
40,3917
41,60381
41,32035
41,23716
41,46951
41,31214
41,66561
41,14871
41,48758
42,3301
42,65876
42,10170
42,60340
42,3919
42,26870
42,35514
42,3333
42,38931
42,1165
42,1730
42,5653
43,65931
43,10412
43,24836
43,38357
43,38854
44,12202
44,34550
44,65903
44,9993
44,34257
44,10237
44,10886
44,34128
44,4176
44,2595
44,32591
44,4421
44,10180
46,48685
46,46
46,37688
46,14404
46,4591
46,49886
46,25312
46,32267
46,46
46,10936
46,26214
46,46
46,24796
46,27522
46,24796
46,46
46,46
47,18369
47,38597
47,11029
47,35202
47,61164
48,61604
48,4770
48,39116
48,12960
48,66549
48,12960
48,66549
48,4656
48,4663
48,2682
48,2634
48,65843
48,10968
48,61485
48,10498
49,10793
49,3584
49,59193
49,4695
49,10481
49,38426
49,59193
49,14251
49,27603
49,11926
49,34405
49,1729
49,32267
49,35229
49,25322
50,11264
50,49003
50,26123
51,62758
51,10774
52,4372
52,38979
53,60572
53,36108
54,10402
54,10402
54,45412
54,45108
54,48388
54,25943
54,43202
54,1390
54,42028
54,46447
55,10169
