source,citation
juris_1,28 no. 1
juris_3,49 so. 311
juris_3,314 mass. 60
juris_3,147 me. 387
juris_3,194 so. 867
juris_14,96 no. 20441
juris_25,g.r. no. 200505
juris_39,g.r. no. 93901
juris_40,415 phil. 145
juris_45,g.r. no. 36378
juris_48,g.r. no. 102676
juris_49,g.r. no. 113888
juris_56,498 phil. 276
juris_56,41 phil. 935
juris_60,106 phils. 732
juris_60,11 so. 2
juris_78,g.r. no. 179220
juris_79,214 p. 2
juris_82,346 phil. 827
juris_85,g.r. no. 162745
juris_94,4079 cad. 299
juris_94,3 jan. 1968
juris_96,22 b. 5
juris_104,479 phi. 459
juris_108,172 so. 824
juris_110,g.r. no. 41621
juris_120,g.r. no. 196209
juris_127,g.r. no. 7842
juris_130,207 n. 11
juris_131,g.r. no. 85240
juris_146,14 sept. 1998
juris_147,248 par. 1
juris_147,118 p. 2
juris_147,440 a.2
juris_147,335 ill. 164
juris_151,97 phil. 975
juris_156,g.r. no. 195960
juris_156,g.r. no. 195960
juris_156,g.r. no. 195960
juris_156,g.r. no. 195960
juris_173,154 misc. 553
juris_173,207 p. 963
juris_174,g.r. no. 188278
juris_178,g.r. no. 75109
juris_180,g.r. no. 192994
juris_192,6 id. 7
juris_192,g.r. no. 144885
juris_194,g.r. no. 198728
juris_194,g.r. no. 198728
juris_194,g.r. no. 198728
juris_194,g.r. no. 198728
juris_194,g.r. no. 198728
juris_194,g.r. no. 198728
juris_206,g.r. no. 189505
juris_206,g.r. no. 189505
juris_206,g.r. no. 189505
juris_206,115 phil. 120
juris_212,g.r. no. 161133
juris_212,g.r. no. 161133
juris_212,g.r. no. 161133
juris_212,g.r. no. 161133
juris_212,g.r. no. 161133
juris_212,g.r. no. 161133
juris_212,g.r. no. 161133
juris_213,g.r. no. 122287
juris_213,g.r. no. 154538
juris_213,g.r. no. 122287
juris_213,g.r. no. 122287
juris_213,g.r. no. 154538
juris_213,g.r. no. 122287
juris_213,g.r. no. 122287
juris_213,g.r. no. 154538
juris_213,g.r. no. 48050
juris_216,g.r. no. 847847
juris_219,g.r. no. 171558
juris_222,2000 pp. 1
juris_222,2001 pp. 10
juris_222,2001 p. 12
juris_227,g.r. no. 1331232
juris_229,536 phil. 897
juris_235,g.r. no. 28761
juris_239,g.r. no. 179174
juris_265,166 phil. 1231
juris_267,g.r. no. 171776
juris_267,g.r. no. 171755
juris_267,g.r. no. 171755
juris_267,g.r. no. 171755
juris_271,356 phil. 670
juris_274,177 okl. 292
juris_280,g.r. no. 161830
juris_280,g.r. no. 161830
juris_280,g.r. no. 161830
juris_280,g.r. no. 190456
juris_280,g.r. no. 190456
juris_285,g.r. no. 181342
juris_285,g.r. no. 181356
juris_288,g.r. no. 189699
juris_289,215 phil. 430
juris_293,g.r. no. 165110
juris_295,g.r. no. 175568
juris_295,g.r. no. 175397
juris_297,g.r. no. 102647
juris_298,g.r. no. 122166
juris_300,g.r. no. 188612
juris_301,g.r. no. 114046
juris_306,g.r. no. 170125
juris_313,g.r. no. 188818
juris_315,g.r. no. 161092
juris_315,g.r. no. 161092
juris_315,g.r. no. 161092
juris_323,g.r. no. 179290
juris_323,g.r. no. 179290
juris_323,g.r. no. 179290
juris_323,g.r. no. 179290
juris_323,g.r. no. 179290
juris_323,g.r. no. 179290
juris_323,g.r. no. 179290
juris_329,g.r. no. 241524
juris_330,157 p. 2
juris_334,74 a.71
juris_335,g.r. no. 151019
juris_339,g.r. no. 180078
juris_339,g.r. no. 180078
juris_339,g.r. no. 180078
